date,season,venue,team1,team2,toss_winner,toss_decision,winner
2023-01-28,2022/23,Perth Stadium,Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers
2023-01-29,2022/23,"Docklands Stadium, Melbourne",Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2023-02-02,2022/23,Sydney Cricket Ground,Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
2023-02-04,2022/23,Perth Stadium,Brisbane Heat,Perth Scorchers,Brisbane Heat,bat,Perth Scorchers
2023-12-07,2023/24,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Brisbane Heat
2023-12-08,2023/24,Sydney Cricket Ground,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
2023-12-10,2023/24,"GMHBA Stadium, South Geelong, Victoria",Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,
2023-12-11,2023/24,"University of Tasmania Stadium, Launceston",Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Sydney Sixers
2023-12-12,2023/24,"Manuka Oval, Canberra",Brisbane Heat,Sydney Thunder,Sydney Thunder,field,Brisbane Heat
2023-12-13,2023/24,Melbourne Cricket Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2023-12-19,2023/24,Adelaide Oval,Sydney Thunder,Adelaide Strikers,Sydney Thunder,bat,Adelaide Strikers
2023-12-20,2023/24,Perth Stadium,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
2023-12-21,2023/24,"Docklands Stadium, Melbourne",Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2023-12-22,2023/24,Sydney Cricket Ground,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,field,Sydney Sixers
2023-12-23,2023/24,"Lavington Sports Oval, Albury",Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Sydney Thunder
