team1,team2,winner,toss_winner,toss_decision,venue,date,season
Birmingham Bears,Northamptonshire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2021-07-18,2021
Middlesex,Essex,Middlesex,Middlesex,bat,"County Ground, Chelmsford",2021-07-18,2021
Somerset,Gloucestershire,Somerset,Gloucestershire,field,"The Cooper Associates County Ground, Taunton",2021-07-18,2021
Worcestershire,Leicestershire,Leicestershire,Worcestershire,bat,"Grace Road, Leicester",2021-07-18,2021
Glamorgan,Hampshire,Hampshire,Hampshire,field,"The Rose Bowl, Southampton",2021-07-18,2021
Nottinghamshire,Durham,Nottinghamshire,Durham,field,"Trent Bridge, Nottingham",2021-07-18,2021
Kent,Sussex,Sussex,Kent,bat,"St Lawrence Ground, Canterbury",2021-07-18,2021
Yorkshire,Sussex,Sussex,Yorkshire,bat,"Riverside Ground, Chester-le-Street",2021-08-24,2021
Hampshire,Nottinghamshire,Hampshire,Nottinghamshire,field,"Trent Bridge, Nottingham",2021-08-25,2021
Lancashire,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2021-08-26,2021
Kent,Birmingham Bears,Kent,Birmingham Bears,field,"St Lawrence Ground, Canterbury",2021-08-27,2021
Hampshire,Somerset,Somerset,Somerset,field,"Edgbaston, Birmingham",2021-09-18,2021
Kent,Sussex,Kent,Kent,bat,"Edgbaston, Birmingham",2021-09-18,2021
Kent,Somerset,Kent,Somerset,field,"Edgbaston, Birmingham",2021-09-18,2021
Kent,Somerset,Somerset,Kent,bat,"St Lawrence Ground, Canterbury",2022-05-25,2022
Worcestershire,Yorkshire,Yorkshire,Worcestershire,bat,"Headingley, Leeds",2022-05-25,2022
Middlesex,Gloucestershire,Middlesex,Gloucestershire,field,"Radlett Cricket Club, Radlett",2022-05-26,2022
Sussex,Glamorgan,Glamorgan,Glamorgan,field,"County Ground, Hove",2022-05-26,2022
Durham,Leicestershire,Durham,Leicestershire,field,"Grace Road, Leicester",2022-05-26,2022
Birmingham Bears,Northamptonshire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2022-05-26,2022
Middlesex,Hampshire,Middlesex,Hampshire,field,"The Rose Bowl, Southampton",2022-05-27,2022
Gloucestershire,Sussex,Gloucestershire,Sussex,field,"County Ground, Bristol",2022-05-27,2022
Kent,Essex,Essex,Kent,bat,"St Lawrence Ground, Canterbury",2022-05-27,2022
Lancashire,Yorkshire,,Lancashire,bat,"Old Trafford, Manchester",2022-05-27,2022
Glamorgan,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2022-05-27,2022
Northamptonshire,Durham,Northamptonshire,Northamptonshire,bat,"County Ground, Northampton",2022-05-27,2022
Birmingham Bears,Derbyshire,Birmingham Bears,Birmingham Bears,bat,"County Ground, Derby",2022-05-27,2022
Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"Trent Bridge, Nottingham",2022-05-27,2022
Derbyshire,Leicestershire,Derbyshire,Leicestershire,field,"Grace Road, Leicester",2022-05-28,2022
Essex,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2022-05-29,2022
Sussex,Kent,Sussex,Kent,field,"County Ground, Hove",2022-05-29,2022
Leicestershire,Yorkshire,Leicestershire,Leicestershire,bat,"Headingley, Leeds",2022-05-29,2022
Glamorgan,Middlesex,Middlesex,Middlesex,field,"Radlett Cricket Club, Radlett",2022-05-29,2022
Lancashire,Worcestershire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2022-05-29,2022
Durham,Birmingham Bears,Birmingham Bears,Durham,bat,"Edgbaston, Birmingham",2022-05-29,2022
Hampshire,Somerset,Somerset,Somerset,field,"The Rose Bowl, Southampton",2022-05-30,2022
Nottinghamshire,Northamptonshire,,Northamptonshire,field,"Trent Bridge, Nottingham",2022-05-30,2022
Hampshire,Essex,Essex,Essex,field,"County Ground, Chelmsford",2022-05-31,2022
Lancashire,Nottinghamshire,Lancashire,Nottinghamshire,field,"Trent Bridge, Nottingham",2022-05-31,2022
Yorkshire,Derbyshire,Derbyshire,Derbyshire,field,"Headingley, Leeds",2022-05-31,2022
Surrey,Gloucestershire,Surrey,Gloucestershire,field,"Kennington Oval, London",2022-05-31,2022
Kent,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2022-06-01,2022
Lancashire,Derbyshire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2022-06-01,2022
Durham,Worcestershire,Durham,Worcestershire,field,"Riverside Ground, Chester-le-Street",2022-06-01,2022
Northamptonshire,Leicestershire,Northamptonshire,Northamptonshire,bat,"County Ground, Northampton",2022-06-01,2022
Sussex,Somerset,Sussex,Somerset,field,"The Cooper Associates County Ground, Taunton",2022-06-01,2022
Leicestershire,Birmingham Bears,Leicestershire,Leicestershire,bat,"Edgbaston, Birmingham",2022-06-02,2022
Surrey,Hampshire,Surrey,Hampshire,field,"Kennington Oval, London",2022-06-02,2022
Essex,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2022-06-02,2022
Derbyshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, Derby",2022-06-03,2022
Glamorgan,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2022-06-03,2022
Worcestershire,Birmingham Bears,Worcestershire,Birmingham Bears,field,"County Ground, New Road, Worcester",2022-06-03,2022
Northamptonshire,Lancashire,Lancashire,Northamptonshire,bat,"Old Trafford, Manchester",2022-06-03,2022
Surrey,Kent,Surrey,Kent,field,"St Lawrence Ground, Canterbury",2022-06-03,2022
Middlesex,Sussex,Sussex,Sussex,field,"County Ground, Hove",2022-06-03,2022
Durham,Yorkshire,Yorkshire,Durham,bat,"Headingley, Leeds",2022-06-03,2022
Hampshire,Sussex,Hampshire,Sussex,field,"The Rose Bowl, Southampton",2022-06-04,2022
Kent,Middlesex,Kent,Kent,bat,"St Lawrence Ground, Canterbury",2022-06-05,2022
Birmingham Bears,Nottinghamshire,Birmingham Bears,Nottinghamshire,field,"Edgbaston, Birmingham",2022-06-05,2022
Leicestershire,Worcestershire,Leicestershire,Worcestershire,field,"County Ground, New Road, Worcester",2022-06-05,2022
Durham,Northamptonshire,Northamptonshire,Durham,bat,"Riverside Ground, Chester-le-Street",2022-06-05,2022
Surrey,Glamorgan,,Glamorgan,field,"Sophia Gardens, Cardiff",2022-06-05,2022
Yorkshire,Nottinghamshire,Yorkshire,Nottinghamshire,field,"Headingley, Leeds",2022-06-06,2022
Middlesex,Hampshire,Hampshire,Hampshire,field,"Radlett Cricket Club, Radlett",2022-06-07,2022
Glamorgan,Gloucestershire,Gloucestershire,Gloucestershire,field,"Sophia Gardens, Cardiff",2022-06-07,2022
Kent,Essex,Essex,Essex,field,"County Ground, Chelmsford",2022-06-07,2022
Derbyshire,Northamptonshire,Northamptonshire,Derbyshire,bat,"County Ground, Northampton",2022-06-07,2022
Leicestershire,Lancashire,Lancashire,Leicestershire,bat,"Grace Road, Leicester",2022-06-07,2022
Sussex,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2022-06-08,2022
Lancashire,Yorkshire,Lancashire,Yorkshire,field,"Headingley, Leeds",2022-06-08,2022
Durham,Birmingham Bears,Birmingham Bears,Durham,bat,"Riverside Ground, Chester-le-Street",2022-06-08,2022
Hampshire,Essex,Hampshire,Hampshire,bat,"The Rose Bowl, Southampton",2022-06-09,2022
Leicestershire,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, Derby",2022-06-09,2022
Gloucestershire,Somerset,Somerset,Somerset,field,"County Ground, Bristol",2022-06-09,2022
Northamptonshire,Worcestershire,Northamptonshire,Northamptonshire,bat,"County Ground, Northampton",2022-06-09,2022
Surrey,Middlesex,Surrey,Middlesex,field,"Lord's, London",2022-06-09,2022
Leicestershire,Nottinghamshire,Nottinghamshire,Leicestershire,bat,"Grace Road, Leicester",2022-06-10,2022
Kent,Somerset,Kent,Somerset,field,"The Cooper Associates County Ground, Taunton",2022-06-10,2022
Essex,Middlesex,Essex,Middlesex,field,"County Ground, Chelmsford",2022-06-10,2022
Birmingham Bears,Yorkshire,Yorkshire,Birmingham Bears,bat,"Edgbaston, Birmingham",2022-06-10,2022
Hampshire,Glamorgan,Hampshire,Glamorgan,field,"Sophia Gardens, Cardiff",2022-06-10,2022
Lancashire,Durham,Durham,Lancashire,bat,"Riverside Ground, Chester-le-Street",2022-06-10,2022
Derbyshire,Worcestershire,Derbyshire,Worcestershire,field,"County Ground, New Road, Worcester",2022-06-10,2022
Gloucestershire,Sussex,Gloucestershire,Sussex,field,"County Ground, Hove",2022-06-10,2022
Hampshire,Kent,Hampshire,Kent,field,"The Rose Bowl, Southampton",2022-06-17,2022
Middlesex,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2022-06-17,2022
Essex,Sussex,Essex,Sussex,field,"County Ground, Chelmsford",2022-06-17,2022
Somerset,Gloucestershire,Somerset,Gloucestershire,field,"The Cooper Associates County Ground, Taunton",2022-06-17,2022
Lancashire,Northamptonshire,Northamptonshire,Lancashire,bat,"County Ground, Northampton",2022-06-17,2022
Birmingham Bears,Nottinghamshire,Birmingham Bears,Nottinghamshire,field,"Trent Bridge, Nottingham",2022-06-17,2022
Worcestershire,Leicestershire,Leicestershire,Worcestershire,bat,"Grace Road, Leicester",2022-06-17,2022
Yorkshire,Durham,Yorkshire,Yorkshire,bat,"Riverside Ground, Chester-le-Street",2022-06-17,2022
Yorkshire,Derbyshire,Derbyshire,Derbyshire,field,"Queen's Park, Chesterfield",2022-06-18,2022
Nottinghamshire,Lancashire,Lancashire,Lancashire,field,"Stanley Park, Blackpool",2022-06-19,2022
Essex,Somerset,Somerset,Somerset,field,"County Ground, Chelmsford",2022-06-19,2022
Leicestershire,Durham,Leicestershire,Leicestershire,bat,"Riverside Ground, Chester-le-Street",2022-06-19,2022
Kent,Middlesex,Middlesex,Kent,bat,"Lord's, London",2022-06-19,2022
Birmingham Bears,Derbyshire,Derbyshire,Birmingham Bears,bat,"Edgbaston, Birmingham",2022-06-19,2022
Hampshire,Surrey,Surrey,Surrey,field,"The Rose Bowl, Southampton",2022-06-19,2022
Sussex,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2022-06-19,2022
Gloucestershire,Kent,Gloucestershire,Kent,field,"St Lawrence Ground, Canterbury",2022-06-21,2022
Somerset,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2022-06-21,2022
Middlesex,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2022-06-21,2022
Northamptonshire,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, Derby",2022-06-21,2022
Leicestershire,Nottinghamshire,Leicestershire,Leicestershire,bat,"Trent Bridge, Nottingham",2022-06-21,2022
Northamptonshire,Birmingham Bears,Birmingham Bears,Northamptonshire,bat,"County Ground, Northampton",2022-06-22,2022
Nottinghamshire,Derbyshire,Nottinghamshire,Derbyshire,field,"Trent Bridge, Nottingham",2022-06-23,2022
Hampshire,Somerset,Hampshire,Somerset,field,"The Cooper Associates County Ground, Taunton",2022-06-23,2022
Worcestershire,Yorkshire,Yorkshire,Yorkshire,field,"County Ground, New Road, Worcester",2022-06-23,2022
Lancashire,Durham,,Durham,field,"Stanley Park, Blackpool",2022-06-23,2022
Essex,Middlesex,Essex,Middlesex,field,"Lord's, London",2022-06-23,2022
Sussex,Surrey,Sussex,Surrey,field,"County Ground, Hove",2022-06-23,2022
Derbyshire,Lancashire,Derbyshire,Lancashire,field,"County Ground, Derby",2022-06-24,2022
Yorkshire,Northamptonshire,Yorkshire,Northamptonshire,field,"County Ground, Northampton",2022-06-24,2022
Essex,Surrey,Essex,Surrey,field,"County Ground, Chelmsford",2022-06-24,2022
Nottinghamshire,Durham,Nottinghamshire,Durham,field,"Riverside Ground, Chester-le-Street",2022-06-24,2022
Birmingham Bears,Worcestershire,Birmingham Bears,Worcestershire,field,"Edgbaston, Birmingham",2022-06-24,2022
Somerset,Glamorgan,Somerset,Glamorgan,field,"Sophia Gardens, Cardiff",2022-06-24,2022
Hampshire,Gloucestershire,Hampshire,Gloucestershire,field,"County Ground, Bristol",2022-06-24,2022
Sussex,Kent,Kent,Kent,field,"St Lawrence Ground, Canterbury",2022-06-24,2022
Birmingham Bears,Yorkshire,Birmingham Bears,Yorkshire,field,"Headingley, Leeds",2022-07-01,2022
Kent,Surrey,Surrey,Surrey,field,"Kennington Oval, London",2022-07-01,2022
Middlesex,Somerset,Somerset,Somerset,field,"Lord's, London",2022-07-01,2022
Worcestershire,Lancashire,Worcestershire,Lancashire,field,"County Ground, New Road, Worcester",2022-07-01,2022
Essex,Sussex,Essex,Sussex,field,"County Ground, Hove",2022-07-01,2022
Durham,Nottinghamshire,Nottinghamshire,Durham,bat,"Trent Bridge, Nottingham",2022-07-01,2022
Leicestershire,Northamptonshire,Leicestershire,Leicestershire,bat,"Grace Road, Leicester",2022-07-01,2022
Hampshire,Gloucestershire,Hampshire,Hampshire,bat,"The Rose Bowl, Southampton",2022-07-01,2022
Essex,Glamorgan,Essex,Glamorgan,field,"County Ground, Chelmsford",2022-07-02,2022
Durham,Derbyshire,Derbyshire,Derbyshire,field,"County Ground, Derby",2022-07-03,2022
Somerset,Surrey,Somerset,Surrey,field,"The Cooper Associates County Ground, Taunton",2022-07-03,2022
Leicestershire,Yorkshire,Leicestershire,Yorkshire,field,"Grace Road, Leicester",2022-07-03,2022
Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, New Road, Worcester",2022-07-03,2022
Birmingham Bears,Lancashire,Lancashire,Birmingham Bears,bat,"Old Trafford, Manchester",2022-07-03,2022
Glamorgan,Kent,Glamorgan,Glamorgan,bat,"St Lawrence Ground, Canterbury",2022-07-03,2022
Middlesex,Gloucestershire,Gloucestershire,Middlesex,bat,"County Ground, Bristol",2022-07-03,2022
Sussex,Hampshire,Hampshire,Hampshire,field,"County Ground, Hove",2022-07-03,2022
Yorkshire,Surrey,Yorkshire,Surrey,field,"Kennington Oval, London",2022-07-06,2022
Hampshire,Birmingham Bears,Hampshire,Hampshire,bat,"Edgbaston, Birmingham",2022-07-07,2022
Essex,Lancashire,Lancashire,Essex,bat,"Old Trafford, Manchester",2022-07-08,2022
Somerset,Derbyshire,Somerset,Derbyshire,field,"The Cooper Associates County Ground, Taunton",2022-07-09,2022
Yorkshire,Lancashire,Lancashire,Yorkshire,bat,"Edgbaston, Birmingham",2022-07-16,2022
Hampshire,Somerset,Hampshire,Hampshire,bat,"Edgbaston, Birmingham",2022-07-16,2022
Hampshire,Lancashire,Hampshire,Hampshire,bat,"Edgbaston, Birmingham",2022-07-16,2022
Derbyshire,Lancashire,Lancashire,Lancashire,field,"Edgbaston, Birmingham",2023-05-20,2023
Birmingham Bears,Yorkshire,Birmingham Bears,Yorkshire,field,"Edgbaston, Birmingham",2023-05-20,2023
Hampshire,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2023-05-24,2023
Worcestershire,Northamptonshire,Worcestershire,Worcestershire,bat,"County Ground, Northampton",2023-05-24,2023
Gloucestershire,Kent,Kent,Gloucestershire,bat,"St Lawrence Ground, Canterbury",2023-05-24,2023
Leicestershire,Lancashire,Lancashire,Leicestershire,bat,"Old Trafford, Manchester",2023-05-25,2023
Surrey,Middlesex,Surrey,Surrey,bat,"Lord's, London",2023-05-25,2023
Derbyshire,Nottinghamshire,Nottinghamshire,Derbyshire,bat,"Trent Bridge, Nottingham",2023-05-26,2023
Yorkshire,Worcestershire,Worcestershire,Yorkshire,bat,"County Ground, New Road, Worcester",2023-05-26,2023
Middlesex,Hampshire,Hampshire,Hampshire,field,"The Rose Bowl, Southampton",2023-05-26,2023
Gloucestershire,Glamorgan,Glamorgan,Glamorgan,field,"County Ground, Bristol",2023-05-26,2023
Surrey,Kent,Surrey,Kent,field,"Kennington Oval, London",2023-05-26,2023
Sussex,Somerset,Somerset,Somerset,field,"County Ground, Hove",2023-05-26,2023
Leicestershire,Birmingham Bears,Birmingham Bears,Leicestershire,bat,"Grace Road, Leicester",2023-05-26,2023
Northamptonshire,Durham,Durham,Northamptonshire,bat,"County Ground, Northampton",2023-05-26,2023
Lancashire,Nottinghamshire,Lancashire,Lancashire,bat,"Old Trafford, Manchester",2023-05-27,2023
Durham,Yorkshire,Durham,Yorkshire,field,"Headingley, Leeds",2023-05-28,2023
Glamorgan,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2023-05-28,2023
Surrey,Sussex,Sussex,Sussex,field,"Kennington Oval, London",2023-05-28,2023
Worcestershire,Leicestershire,Worcestershire,Worcestershire,bat,"County Ground, New Road, Worcester",2023-05-29,2023
Derbyshire,Northamptonshire,Northamptonshire,Northamptonshire,field,"County Ground, Derby",2023-05-29,2023
Gloucestershire,Middlesex,Gloucestershire,Middlesex,field,"Merchant Taylors' School Ground, Northwood",2023-05-29,2023
Lancashire,Birmingham Bears,Birmingham Bears,Lancashire,bat,"Edgbaston, Birmingham",2023-05-29,2023
Durham,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"Riverside Ground, Chester-le-Street",2023-05-29,2023
Somerset,Kent,Somerset,Kent,field,"St Lawrence Ground, Canterbury",2023-05-30,2023
Gloucestershire,Essex,Essex,Essex,field,"County Ground, Chelmsford",2023-05-30,2023
Yorkshire,Nottinghamshire,Yorkshire,Yorkshire,bat,"Trent Bridge, Nottingham",2023-05-30,2023
Hampshire,Surrey,Surrey,Surrey,field,"The Rose Bowl, Southampton",2023-05-31,2023
Birmingham Bears,Northamptonshire,Birmingham Bears,Northamptonshire,field,"County Ground, Northampton",2023-05-31,2023
Glamorgan,Middlesex,Glamorgan,Glamorgan,bat,"Merchant Taylors' School Ground, Northwood",2023-05-31,2023
Derbyshire,Leicestershire,Derbyshire,Leicestershire,field,"Grace Road, Leicester",2023-06-01,2023
Yorkshire,Lancashire,Yorkshire,Lancashire,field,"Headingley, Leeds",2023-06-01,2023
Essex,Sussex,Essex,Sussex,field,"County Ground, Hove",2023-06-01,2023
Derbyshire,Birmingham Bears,Derbyshire,Birmingham Bears,field,"County Ground, Derby",2023-06-02,2023
Leicestershire,Northamptonshire,Northamptonshire,Leicestershire,bat,"County Ground, Northampton",2023-06-02,2023
Middlesex,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2023-06-02,2023
Kent,Glamorgan,Glamorgan,Glamorgan,field,"Sophia Gardens, Cardiff",2023-06-02,2023
Lancashire,Durham,Durham,Lancashire,bat,"Riverside Ground, Chester-le-Street",2023-06-02,2023
Surrey,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2023-06-02,2023
Hampshire,Essex,Hampshire,Essex,field,"County Ground, Chelmsford",2023-06-02,2023
Worcestershire,Nottinghamshire,Worcestershire,Nottinghamshire,field,"Trent Bridge, Nottingham",2023-06-02,2023
Sussex,Hampshire,Hampshire,Sussex,bat,"The Rose Bowl, Southampton",2023-06-03,2023
Nottinghamshire,Birmingham Bears,Nottinghamshire,Birmingham Bears,field,"Edgbaston, Birmingham",2023-06-03,2023
Worcestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,"County Ground, New Road, Worcester",2023-06-04,2023
Kent,Surrey,Surrey,Kent,bat,"St Lawrence Ground, Canterbury",2023-06-04,2023
Somerset,Essex,Somerset,Essex,field,"The Cooper Associates County Ground, Taunton",2023-06-04,2023
Glamorgan,Sussex,Glamorgan,Sussex,field,"County Ground, Hove",2023-06-04,2023
Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2023-06-04,2023
Lancashire,Nottinghamshire,Nottinghamshire,Lancashire,bat,"Trent Bridge, Nottingham",2023-06-04,2023
Derbyshire,Yorkshire,Yorkshire,Yorkshire,field,"Headingley, Leeds",2023-06-04,2023
Durham,Leicestershire,Leicestershire,Leicestershire,field,"Riverside Ground, Chester-le-Street",2023-06-04,2023
Northamptonshire,Durham,Durham,Durham,field,"Riverside Ground, Chester-le-Street",2023-06-06,2023
Hampshire,Middlesex,Hampshire,Middlesex,field,"Radlett Cricket Club, Radlett",2023-06-06,2023
Sussex,Essex,Essex,Sussex,bat,"County Ground, Chelmsford",2023-06-06,2023
Yorkshire,Leicestershire,Yorkshire,Yorkshire,bat,"Grace Road, Leicester",2023-06-06,2023
Hampshire,Somerset,Hampshire,Somerset,field,"The Rose Bowl, Southampton",2023-06-07,2023
Worcestershire,Lancashire,Lancashire,Lancashire,field,"Stanley Park, Blackpool",2023-06-07,2023
Surrey,Glamorgan,Surrey,Surrey,bat,"Sophia Gardens, Cardiff",2023-06-07,2023
Kent,Essex,Essex,Kent,bat,"St Lawrence Ground, Canterbury",2023-06-07,2023
Birmingham Bears,Derbyshire,Derbyshire,Birmingham Bears,bat,"Edgbaston, Birmingham",2023-06-07,2023
Sussex,Middlesex,Sussex,Sussex,bat,"Lord's, London",2023-06-08,2023
Nottinghamshire,Durham,Nottinghamshire,Durham,field,"Trent Bridge, Nottingham",2023-06-08,2023
Durham,Leicestershire,Leicestershire,Leicestershire,field,"Grace Road, Leicester",2023-06-09,2023
Somerset,Gloucestershire,Somerset,Gloucestershire,field,"County Ground, Bristol",2023-06-09,2023
Hampshire,Kent,Kent,Kent,field,"St Lawrence Ground, Canterbury",2023-06-09,2023
Surrey,Sussex,Surrey,Sussex,field,"County Ground, Hove",2023-06-09,2023
Derbyshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,"County Ground, Derby",2023-06-09,2023
Essex,Glamorgan,Essex,Essex,bat,"Sophia Gardens, Cardiff",2023-06-09,2023
Yorkshire,Worcestershire,Yorkshire,Yorkshire,bat,"Headingley, Leeds",2023-06-09,2023
Birmingham Bears,Northamptonshire,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2023-06-09,2023
Lancashire,Northamptonshire,Lancashire,Northamptonshire,field,"County Ground, Northampton",2023-06-16,2023
Leicestershire,Yorkshire,Yorkshire,Yorkshire,field,"Headingley, Leeds",2023-06-16,2023
Kent,Middlesex,Kent,Kent,bat,"Lord's, London",2023-06-16,2023
Birmingham Bears,Worcestershire,Birmingham Bears,Worcestershire,field,"County Ground, New Road, Worcester",2023-06-16,2023
Durham,Derbyshire,,Derbyshire,field,"Riverside Ground, Chester-le-Street",2023-06-16,2023
Sussex,Hampshire,Sussex,Hampshire,field,"County Ground, Hove",2023-06-16,2023
Glamorgan,Essex,Essex,Essex,field,"County Ground, Chelmsford",2023-06-16,2023
Surrey,Somerset,Surrey,Somerset,field,"The Cooper Associates County Ground, Taunton",2023-06-16,2023
Gloucestershire,Kent,Kent,Kent,field,"County Ground, Bristol",2023-06-17,2023
Leicestershire,Worcestershire,Worcestershire,Worcestershire,field,"Grace Road, Leicester",2023-06-18,2023
Glamorgan,Gloucestershire,Glamorgan,Gloucestershire,field,"Sophia Gardens, Cardiff",2023-06-18,2023
Essex,Middlesex,Essex,Middlesex,field,"Lord's, London",2023-06-18,2023
Northamptonshire,Nottinghamshire,Northamptonshire,Northamptonshire,bat,"County Ground, Northampton",2023-06-18,2023
Lancashire,Durham,Lancashire,Durham,field,"Old Trafford, Manchester",2023-06-18,2023
Derbyshire,Yorkshire,Derbyshire,Yorkshire,field,"Queen's Park, Chesterfield",2023-06-18,2023
Surrey,Hampshire,Hampshire,Hampshire,field,"Kennington Oval, London",2023-06-18,2023
Essex,Somerset,Somerset,Somerset,field,"County Ground, Chelmsford",2023-06-19,2023
Hampshire,Gloucestershire,Gloucestershire,Gloucestershire,field,"County Ground, Bristol",2023-06-20,2023
Sussex,Kent,Kent,Sussex,bat,"County Ground, Hove",2023-06-20,2023
Nottinghamshire,Leicestershire,Nottinghamshire,Nottinghamshire,bat,"Grace Road, Leicester",2023-06-20,2023
Durham,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Riverside Ground, Chester-le-Street",2023-06-20,2023
Northamptonshire,Yorkshire,Northamptonshire,Northamptonshire,bat,"Headingley, Leeds",2023-06-20,2023
Surrey,Glamorgan,Surrey,Glamorgan,field,"Kennington Oval, London",2023-06-20,2023
Lancashire,Worcestershire,Worcestershire,Lancashire,bat,"County Ground, New Road, Worcester",2023-06-20,2023
Northamptonshire,Derbyshire,Derbyshire,Northamptonshire,bat,"County Ground, Northampton",2023-06-21,2023
Glamorgan,Somerset,Somerset,Somerset,field,"Sophia Gardens, Cardiff",2023-06-21,2023
Birmingham Bears,Yorkshire,Birmingham Bears,Birmingham Bears,bat,"Headingley, Leeds",2023-06-22,2023
Surrey,Middlesex,Middlesex,Middlesex,field,"Kennington Oval, London",2023-06-22,2023
Nottinghamshire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road, Worcester",2023-06-22,2023
Essex,Kent,Kent,Kent,field,"County Ground, Chelmsford",2023-06-22,2023
Gloucestershire,Sussex,Sussex,Sussex,field,"County Ground, Bristol",2023-06-22,2023
Sussex,Glamorgan,Sussex,Sussex,bat,"Sophia Gardens, Cardiff",2023-06-23,2023
Gloucestershire,Somerset,Somerset,Somerset,field,"The Cooper Associates County Ground, Taunton",2023-06-23,2023
Yorkshire,Durham,,Durham,field,"Riverside Ground, Chester-le-Street",2023-06-23,2023
Kent,Middlesex,Kent,Middlesex,field,"St Lawrence Ground, Canterbury",2023-06-23,2023
Birmingham Bears,Worcestershire,Birmingham Bears,Worcestershire,field,"Edgbaston, Birmingham",2023-06-23,2023
Essex,Hampshire,Hampshire,Hampshire,field,"The Rose Bowl, Southampton",2023-06-23,2023
Lancashire,Derbyshire,Lancashire,Derbyshire,field,"Old Trafford, Manchester",2023-06-23,2023
Northamptonshire,Leicestershire,Northamptonshire,Leicestershire,field,"Grace Road, Leicester",2023-06-23,2023
Sussex,Kent,Sussex,Kent,field,"St Lawrence Ground, Canterbury",2023-06-30,2023
Nottinghamshire,Birmingham Bears,Birmingham Bears,Birmingham Bears,field,"Trent Bridge, Nottingham",2023-06-30,2023
Derbyshire,Leicestershire,Derbyshire,Leicestershire,field,"County Ground, Derby",2023-06-30,2023
Essex,Middlesex,Middlesex,Middlesex,field,"County Ground, Chelmsford",2023-06-30,2023
Somerset,Surrey,Somerset,Surrey,field,"Kennington Oval, London",2023-06-30,2023
Hampshire,Glamorgan,Hampshire,Glamorgan,field,"The Rose Bowl, Southampton",2023-06-30,2023
Durham,Worcestershire,,Worcestershire,field,"County Ground, New Road, Worcester",2023-06-30,2023
Sussex,Gloucestershire,Gloucestershire,Sussex,bat,"County Ground, Hove",2023-07-01,2023
Gloucestershire,Hampshire,Hampshire,Hampshire,field,"The Rose Bowl, Southampton",2023-07-02,2023
Nottinghamshire,Leicestershire,Nottinghamshire,Nottinghamshire,bat,"Trent Bridge, Nottingham",2023-07-02,2023
Worcestershire,Derbyshire,Worcestershire,Worcestershire,bat,"County Ground, Derby",2023-07-02,2023
Somerset,Kent,Somerset,Kent,field,"The Cooper Associates County Ground, Taunton",2023-07-02,2023
Surrey,Essex,Essex,Essex,field,"Kennington Oval, London",2023-07-02,2023
Middlesex,Glamorgan,Middlesex,Middlesex,bat,"Sophia Gardens, Cardiff",2023-07-02,2023
Birmingham Bears,Durham,Birmingham Bears,Birmingham Bears,bat,"Edgbaston, Birmingham",2023-07-02,2023
Northamptonshire,Lancashire,Lancashire,Lancashire,field,"Old Trafford, Manchester",2023-07-02,2023
Birmingham Bears,Essex,Essex,Essex,field,"Edgbaston, Birmingham",2023-07-06,2023
Surrey,Lancashire,Surrey,Surrey,bat,"Old Trafford, Manchester",2023-07-07,2023
Nottinghamshire,Somerset,Somerset,Nottinghamshire,bat,"The Cooper Associates County Ground, Taunton",2023-07-07,2023
Worcestershire,Hampshire,Hampshire,Hampshire,field,"The Rose Bowl, Southampton",2023-07-07,2023
